invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,invoiceValue,age,interest,vehicleStatus
26/05/25,6935002926,Anant Gwalior,31/05/25,1905,FORTUNER LEGENDER,4X2 AT,DIESEL,FRN1L,WHITEPEARL & A.BLACK,Black & Maroon,MBJAA3GS400638559~0525,1GD A884962,88147,Gwalior,4184219.6,19,28315.1299,FREE
26/05/25,6935002955,Anant Gwalior,31/05/25,1905,FORTUNER MC,4X2 AT,DIESEL,FRNCK,PLATINUM WHITE PEARL,CHAMOIS,MBJAA3GS400638612~0525,1GD A885453,88029,Gwalior,3677307.1,19,24884.79051,BOOKED
07/05/25,6935001835,Anant Gwalior,10/05/25,1905,FORTUNER MC,4X2 AT LEADER EDITION,DIESEL,FRNB4,SILVER METALLIC & A.BLACK,BLACK MAROON,MBJAA3GS800637012~0425,1GD A879328,81474,Gwalior,,38,,FREE
20/05/25,6935002654,Anant Gwalior,26/05/25,1905,FORTUNER MC,4X2 MT,DIESEL,FRNBJ,PLATINUM WHITE PEARL,BLACK,MBJAA3GS200638236~0525,1GD A883619,88284,Gwalior,,25,,BOOKED
20/05/25,6935002654,Anant Gwalior,26/05/25,1905,FORTUNER MC,4X2 MT LEADER EDITION,DIESEL,FRNB3,SUPERWHITE & A.BLACK,BLACK MAROON,MBJAA3GS300637886~0525,1GD A883354,85729,Gwalior,,25,,FREE
18/01/25,6934001826,Anant Gwalior,21/01/25,1905,FORTUNER MC,4X4 MT,DIESEL,FRNBE,PLATINUM WHITE PEARL,BLACK,MBJBA3FS100856660~1124,1GD A846546,83146,Gwalior,3844055,147,201259.9755,FREE
08/02/25,6934002792,Anant Gwalior,12/02/25,1905,GLANZA,E MT,PETROL,D24ZG,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA944703,K12NP 4629742,5564,Gwalior,659490.5,126,29595.76545,FREE
08/02/25,6934002818,Anant Gwalior,16/02/25,1905,GLANZA,E MT,PETROL,D24ZG,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA938465,K12NP 4624412,6079,Gwalior,659490.5,126,29595.76545,FREE
18/02/25,6934003407,Anant Gwalior,25/02/25,1905,GLANZA,E MT,PETROL,D24ZG,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA937116,K12NP 4628158,5007,Gwalior,663490.51,116,27412.15587,FREE
13/03/25,6934004944,Anant Gwalior,19/03/25,1905,GLANZA,E MT,PETROL,D24ZG,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSB965076,K12NP 4648278,5318,Gwalior,663490.51,93,21976.98703,FREE
05/05/25,6935001765,Anant Gwalior,08/05/25,1905,GLANZA,E MT,PETROL,D24ZG,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSC979678,K12NP 4661183,6190,Gwalior,664199.51,40,9462.568362,FREE
18/02/25,6934003468,Anant Gwalior,23/02/25,1905,GLANZA,E MT,PETROL,D24ZG,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SSB949931,K12NP 4634551,5382,Gwalior,663490.51,116,27412.15587,FREE
18/02/25,6934003468,Anant Gwalior,23/02/25,1905,GLANZA,E MT,PETROL,D24ZG,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SSA934597,K12NP 4621947,5077,Gwalior,663490.51,116,27412.15587,FREE
18/02/25,6934003407,Anant Gwalior,25/02/25,1905,GLANZA,E MT,PETROL,D24ZG,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SSB949781,K12NP 4634589,5256,Gwalior,663490.51,116,27412.15587,BOOKED
18/02/25,6934003407,Anant Gwalior,25/02/25,1905,GLANZA,E MT,PETROL,D24ZG,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SSB949427,K12NP 4634122,5602,Gwalior,663490.51,116,27412.15587,FREE
18/02/25,6934003406,Anant Gwalior,23/02/25,1905,GLANZA,E MT,PETROL,D24ZG,INSTA BLUE,2 TONE BLACK & BEIGE,MBHJWC13SSA937102,K12NP 4628038,5393,Gwalior,663490.51,116,27412.15587,FREE
18/02/25,6934003406,Anant Gwalior,23/02/25,1905,GLANZA,E MT,PETROL,D24ZG,INSTA BLUE,2 TONE BLACK & BEIGE,MBHJWC13SSA936912,K12NP 4628271,5424,Gwalior,663490.51,116,27412.15587,FREE
26/05/25,6935002962,Anant Gwalior,31/05/25,1905,GLANZA,E MT,PETROL,D24ZG,INSTA BLUE,2 TONE BLACK & BEIGE,MBHJWC13SSC996098,K12NP 4674672,5646,Gwalior,664199.51,19,4494.719972,FREE
03/05/25,6935001719,Anant Gwalior,09/05/25,1905,GLANZA,G AMT,PETROL,D24ZC,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SSDA02933,K12NP 4680850,50930,Gwalior,882607.34,42,13202.83857,BOOKED
15/03/25,6934005074,Anant Gwalior,20/03/25,1905,GLANZA,G AMT,PETROL,D24ZC,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SSC978646,K12NP 4660279,51117,Gwalior,881897.68,91,28583.14946,FREE
20/02/25,6934003626,Anant Gwalior,24/02/25,1905,GLANZA,G MT,PETROL,D24ZD,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA932084,K12NP 4619676,50447,Gwalior,830090.41,114,33703.94487,FREE
20/02/25,6934003627,Anant Gwalior,24/02/25,1905,GLANZA,G MT,PETROL,D24ZD,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA936293,K12NP 4622891,51196,Gwalior,830090.41,114,33703.94487,FREE
15/03/25,6934005040,Anant Gwalior,18/03/25,1905,GLANZA,G MT,PETROL,D24ZD,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA937536,K12NP 4623688,50162,Gwalior,830090.41,91,26904.02617,FREE
10/04/25,6935000483,Anant Gwalior,15/04/25,1905,GLANZA,G MT,PETROL,D24ZD,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSB955940,K12NP 4640073,51038,Gwalior,830799.99,65,19233.58881,FREE
07/05/25,6935001842,Anant Gwalior,10/05/25,1905,GLANZA,G MT,PETROL,D24ZD,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SSDA02408,K12NP 4680399,50928,Gwalior,,38,,FREE
27/03/25,6934005868,Anant Gwalior,31/03/25,1905,GLANZA,G MT,PETROL,D24ZD,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSB951018,K12NP 4635554,50614,Gwalior,830090.41,79,23356.2425,FREE
03/05/25,6935001719,Anant Gwalior,09/05/25,1905,GLANZA,G MT,PETROL,D24ZD,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSB956085,K12NP 4640190,50409,Shivpuri,830799.99,42,12427.85738,FREE
08/02/25,6934002792,Anant Gwalior,12/02/25,1905,GLANZA,G MT CNG,CNG,D24Z1,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA947520,K12NP 4632397,50682,Gwalior,911098.12,126,40887.08823,BOOKED
11/02/25,6934002941,Anant Gwalior,16/02/25,1905,GLANZA,G MT CNG,CNG,D24Z1,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSA942213,K12NP 4627314,50780,Gwalior,914865.92,123,40078.64674,BOOKED
15/03/25,6934005040,Anant Gwalior,18/03/25,1905,GLANZA,G MT CNG,CNG,D24Z1,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSB961241,K12NP 4644791,50022,Gwalior,914865.92,91,29651.68174,BOOKED
11/04/25,6935000540,Anant Gwalior,15/04/25,1905,GLANZA,G MT CNG,CNG,D24Z1,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSDA00293,K12NP 4678367,50919,Gwalior,915574.94,64,20870.09178,FREE
11/04/25,6935000540,Anant Gwalior,15/04/25,1905,GLANZA,G MT CNG,CNG,D24Z1,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SSDA00467,K12NP 4678591,51005,Gwalior,915574.94,64,20870.09178,FREE
03/05/25,6935001718,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SSDA13648,K12NP 4690745,50390,Gwalior,915574.94,42,13695.99773,FREE
27/05/25,6935003003,Anant Gwalior,31/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SSEA29543,MBHJWC13SSEA29543,50040,Gwalior,915574.94,18,5869.713314,FREE
06/02/25,6934002694,Anant Gwalior,10/02/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSA933494,K12NP 4620865,50123,Gwalior,911098.12,128,41536.08964,BOOKED
06/02/25,6934002695,Anant Gwalior,11/02/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSA936251,K12NP 4623000,50725,Gwalior,911098.12,128,41536.08964,BOOKED
13/03/25,6934004944,Anant Gwalior,19/03/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSB964590,K12NP 4647797,51218,Gwalior,914865.92,93,30303.36705,BOOKED
02/05/25,6935001679,Anant Gwalior,08/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA13957,K12NP 4691039,50660,Gwalior,915574.94,43,14022.09292,BOOKED
02/05/25,6935001679,Anant Gwalior,08/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA13730,K12NP 4690891,50368,Gwalior,915574.94,43,14022.09292,BOOKED
03/05/25,6935001718,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA13632,K12NP 4690769,50974,Gwalior,915574.94,42,13695.99773,FREE
03/05/25,6935001718,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA12325,K12NP 4689588,50359,Gwalior,915574.94,42,13695.99773,FREE
03/05/25,6935001718,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA12108,K12NP 4689364,50756,Gwalior,915574.94,42,13695.99773,FREE
03/05/25,6935001719,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA14850,K12NP 4691928,50352,Gwalior,915574.94,42,13695.99773,FREE
03/05/25,6935001735,Anant Gwalior,09/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA15187,K12NP 7663672,50117,Gwalior,915574.94,42,13695.99773,FREE
05/05/25,6935001765,Anant Gwalior,08/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA17503,K12NP 4694294,50788,Gwalior,915574.94,40,13043.80736,FREE
05/05/25,6935001765,Anant Gwalior,08/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSDA17181,K12NP 4694029,50461,Gwalior,915574.94,40,13043.80736,FREE
21/05/25,6935002748,Anant Gwalior,24/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA29148,K12NP 4704608,50182,Gwalior,915574.94,24,7826.284419,FREE
23/05/25,6935002853,Anant Gwalior,26/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA29248,K12NP 4704711,51070,Gwalior,915574.94,22,7174.09405,FREE
26/05/25,6935002962,Anant Gwalior,31/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA29476,K12NP 4704892,50962,Gwalior,915574.94,19,6195.808498,FREE
27/05/25,6935003002,Anant Gwalior,31/05/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA31379,MBHJWC13SSEA31379,50905,Gwalior,915574.94,18,5869.713314,FREE
27/05/25,6935003007,Anant Gwalior,02/06/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA30248,MBHJWC13SSEA30248,50351,Gwalior,915574.94,18,5869.713314,FREE
02/06/25,6935003407,Anant Gwalior,07/06/25,1905,GLANZA,G MT CNG,CNG,D24Z1,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SSEA33593,K12NP 4708523,50906,Gwalior,915574.94,12,3913.142209,FREE
20/02/25,6934003626,Anant Gwalior,24/02/25,1905,GLANZA,S MT,PETROL,D24ZF,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SSB950553,K12NP 4635215,6045,Gwalior,733069.56,114,29764.63255,FREE
