invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,tkmInvoiceValue,age,interest,status,make
28/08/24,1124012331,Anant Gwalior,03/09/24,2024,FORTUNER LEGENDER,4X2 AT,DIESEL,L6,WHITEPEARL & A.BLACK,BLACK & MAROON,MBJAA3GS000618471~0824,1GD A823583,87835,Gwalior,4135885.11,265,390359.5672,BOOKED,Toyota
12/09/24,1124014248,Anant Gwalior,18/09/24,2024,FORTUNER LEGENDER,4X2 AT,DIESEL,L6,WHITEPEARL & A.BLACK,BLACK & MAROON,MBJAA3GS400620367~0824,1GD A831316,89578,Gwalior,4135885.11,250,368263.7427,BOOKED,Toyota
13/09/24,1124014342,Anant Gwalior,19/09/24,2024,FORTUNER LEGENDER,4X2 AT,DIESEL,L6,WHITEPEARL & A.BLACK,BLACK & MAROON,MBJAA3GS400620434~0824,1GD A831139,89587,Gwalior,4135885.11,249,366790.6877,FREE,Toyota
17/09/24,1124014647,Anant Gwalior,,2024,FORTUNER MC,4X2 AT,DIESEL,CH,SUPER WHITE,CHAMOIS,MBJAA3GS500621222~0924,1GD A833899,81101,Gwalior,3619497.59,245,315838.3513,BOOKED,Toyota
30/08/24,1124012725,Anant Gwalior,05/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GS500619082~0824,1GD A826611,89076,Gwalior,3403467.59,263,318807.0052,BOOKED,Toyota
05/09/24,1124013477,Anant Gwalior,12/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GS400619638~0824,1GD A826665,81484,Gwalior,3403467.59,257,311533.8416,BOOKED,Toyota
09/09/24,1124013751,Anant Gwalior,16/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GS200620108~0824,1GD A829876,81242,Gwalior,3403467.59,253,306685.0658,FREE,Toyota
12/09/24,1124014249,Anant Gwalior,18/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GS900620204~0824,1GD A830372,81245,Gwalior,3403467.59,250,303048.484,FREE,Toyota
13/09/24,1124014343,Anant Gwalior,19/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GSX00620194~0824,1GD A830232,80305,Gwalior,3403467.59,249,301836.2901,FREE,Toyota
18/09/24,1124014747,Anant Gwalior,,2024,FORTUNER MC,4X2 MT,DIESEL,BG,SUPER WHITE,BLACK,MBJAA3GS900620431~0824,1GD A830920,89604,Gwalior,3403467.59,244,295775.3204,FREE,Toyota
24/08/24,1124011760,Anant Gwalior,29/08/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,PLATINUM WHITE PEARL,BLACK,MBJAA3GS300618786~0824,1GD A825134,87933,Gwalior,3417680.09,269,327441.8431,FREE,Toyota
18/09/24,1124014746,Anant Gwalior,,2024,FORTUNER MC,4X2 MT,DIESEL,BG,PLATINUM WHITE PEARL,BLACK,MBJAA3GS400620787~0924,1GD A831932,80673,Gwalior,3417680.09,244,297010.4451,BOOKED,Toyota
04/09/24,1124013423,Anant Gwalior,10/09/24,2024,FORTUNER MC,4X2 MT,DIESEL,BG,ATTITUDE BLACK,BLACK,MBJAA3GS800619593~0824,1GD A828283,81463,Gwalior,3403467.59,258,312746.0355,BOOKED,Toyota
13/09/24,1124014343,Anant Gwalior,19/09/24,2024,FORTUNER MC,4X4 AT,DIESEL,CF,SUPER WHITE,CHAMOIS,MBJBA3FS000855399~0924,1GD A833051,81834,Gwalior,4008920.1,249,355530.8045,FREE,Toyota
04/09/24,5124006955,Anant Gwalior,09/09/24,2024,GLANZA,G MT CNG,CNG,7G,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH834247,K12NP 4535555,51260,Gwalior,911098.12,258,83721.18067,BOOKED,Toyota
05/09/24,5124006984,Anant Gwalior,09/09/24,2024,GLANZA,G MT CNG,CNG,7G,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH834142,K12NP 4536393,51274,Gwalior,911098.12,257,83396.67997,FREE,Toyota
05/09/24,5124006984,Anant Gwalior,09/09/24,2024,GLANZA,G MT CNG,CNG,7G,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRJ837183,K12NP 4538610,50633,Gwalior,911098.12,257,83396.67997,BOOKED,Toyota
05/09/24,5124006984,Anant Gwalior,09/09/24,2024,GLANZA,G MT CNG,CNG,7G,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH835091,K12NP 4538578,50655,Gwalior,911098.12,257,83396.67997,FREE,Toyota
25/07/24,5124005006,Anant Gwalior,28/07/24,2024,GLANZA,S MT CNG,CNG,9G,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRG808606,K12NP 4514975,5424,Gwalior,814077.27,299,86693.65338,FREE,Toyota
03/09/24,5124006901,Anant Gwalior,07/09/24,2024,GLANZA,E MT,PETROL,GR,SPORTIN RED,2 TONE BLACK & BEIGE,MBHJWC13SRH831716,K12NP 4533680,6059,Gwalior,659490.51,259,60835.74102,FREE,Toyota
25/07/24,5124005006,Anant Gwalior,28/07/24,2024,GLANZA,E MT,PETROL,GR,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SRG809345,K12NP 4515568,5289,Gwalior,659490.51,299,70231.22226,BOOKED,Toyota
09/08/24,5124005821,Anant Gwalior,13/08/24,2024,GLANZA,E MT,PETROL,GR,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SRG817533,K12NP 7550179,5337,Gwalior,659490.51,284,66707.91679,FREE,Toyota
03/09/24,5124006903,Anant Gwalior,07/09/24,2024,GLANZA,E MT,PETROL,GR,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SRH832468,K12NP 4534391,5991,Gwalior,659490.51,259,60835.74102,FREE,Toyota
10/08/24,5124005866,Anant Gwalior,13/08/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH821874,K12NP 4525512,5462,Gwalior,659490.51,283,66473.02976,FREE,Toyota
10/08/24,5124005866,Anant Gwalior,13/08/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH821490,K12NP 4525176,5418,Gwalior,659490.51,283,66473.02976,FREE,Toyota
03/09/24,5124006901,Anant Gwalior,07/09/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH832503,K12NP 4534339,5026,Gwalior,659490.51,259,60835.74102,FREE,Toyota
03/09/24,5124006903,Anant Gwalior,07/09/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH835173,K12NP 4536920,5009,Gwalior,659490.51,259,60835.74102,FREE,Toyota
03/09/24,5124006903,Anant Gwalior,07/09/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH832520,K12NP 7559112,5023,Gwalior,659490.51,259,60835.74102,FREE,Toyota
04/09/24,5124006952,Anant Gwalior,09/09/24,2024,GLANZA,E MT,PETROL,GR,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH835300,K12NP 4537019,5740,Gwalior,659490.51,258,60600.85399,FREE,Toyota
05/06/24,5124002789,Anant Gwalior,08/06/24,2024,GLANZA,G MT,PETROL,GO,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SRE774502,K12NP 4486100,51018,Gwalior,826322.62,349,102713.0336,FREE,Toyota
05/09/24,5124006986,Anant Gwalior,09/09/24,2024,GLANZA,G MT,PETROL,GO,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SRJ837232,K12NP 4538632,50228,Gwalior,826322.62,257,75636.81845,FREE,Toyota
27/05/24,5124002142,Anant Gwalior,30/05/24,2024,GLANZA,G MT,PETROL,GO,ENTICING SILVER,2 TONE BLACK & BEIGE,MBHJWC13SRE768723,K12NP 4481263,51198,Gwalior,826322.62,358,105361.7938,FREE,Toyota
09/08/24,5124005821,Anant Gwalior,13/08/24,2024,GLANZA,G MT,PETROL,GO,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRG815012,K12NP 4519952,50635,Gwalior,826322.62,284,83583.09899,FREE,Toyota
23/08/24,5124006477,Anant Gwalior,26/08/24,2024,GLANZA,G MT,PETROL,GO,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH818412,K12NP 4522680,51244,Gwalior,826322.62,270,79462.80538,FREE,Toyota
23/08/24,5124006485,Anant Gwalior,26/08/24,2024,GLANZA,S AMT,PETROL,GP,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRH830305,K12NP 4532565,5956,Gwalior,776399.26,270,74661.95624,BOOKED,Toyota
06/04/24,5124000226,Anant Gwalior,12/04/24,2024,GLANZA,S MT,PETROL,GQ,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SRD731148,K12NP 4449374,5109,Morena,729301.77,409,106238.288,FREE,Toyota
27/05/24,5124002141,Anant Gwalior,31/05/24,2024,GLANZA,S MT,PETROL,GQ,GAMING GREY,2 TONE BLACK & BEIGE,MBHJWC13SRE765184,K12NP 4478144,5200,Gwalior,729301.77,358,92990.97089,FREE,Toyota
05/09/24,5124006984,Anant Gwalior,09/09/24,2024,GLANZA,S MT,PETROL,GQ,CAFE WHITE,2 TONE BLACK & BEIGE,MBHJWC13SRJ836894,K12NP 4538356,5188,Gwalior,729301.77,257,66756.08804,FREE,Toyota
